id,review_scores_rating,number_of_reviews,name,description,neighborhood_overview,host_since,host_response_time,host_response_rate,latitude,longitude,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,distance_km
97945,4.84,126,Deluxw-Apartm. with roof terrace,,"We are living in a outskirt of Munich its called a Gardencity, which is very quiet and comfortable for a rest after sightseeing in downtown.",2011-04-18,,,48.11492,11.48954,1.0,1.0,1.0,105.0,2,90,6.847144083586844
127383,4.84,119,City apartment next to Pinakothek,,,2011-05-26,within a few hours,100%,48.15199,11.56482,1.0,1.0,1.0,288.0,3,20,1.8056089466603071
170154,4.96,590,"Own floor & bath, parking & breakfast","Enjoy a quiet neighbourhood, easy access to the city center and attractions by public transport, free parking, your privacy and breakfast.",,2010-04-14,within a few hours,100%,48.10814,11.52733,1.0,1.0,2.0,142.0,3,1125,4.829238650261446
172977,4.83,120,Beautiful room close to centre,,You will find in a very close walking distance recommandable restaurants as well as supermarkets and a 7 day bakery shop.,2011-07-16,within a day,80%,48.14957,11.55507,1.0,1.0,1.0,120.0,2,7,2.0301332782834582
187359,4.9,53,Charming apartment near City Center,"My apartment is located in the heart of Munich in a quiet and safe neighborhood.<br />I will share it with you during your visit. <br />The building is a 120 year old historical building equipped with wooden floor, high ceilings and large windows.<br /><br />You find all amenities and public transport nearby.","The best bakers of Munich are right next door. Shops, nice restaurants and bars are within short walking distance.",2011-08-01,,,48.15638,11.53935,1.0,1.0,1.0,68.0,2,35,3.410666235085082
189551,4.81,459,Spacious Loft with Rooftop Terrace in City Center,,"The district is located in the western city center on a terrace formed by the Isar.<br />In the eastern part is the Theresienhöhe and south of it are Theresienwiese and the former exhibition center.<br />There are plenty of bars, cafes and excellent restaurants and I am happy to give you recommendations on request. The area is safe, but still very quiet due to the low traffic.",2011-08-03,within an hour,100%,48.135918738468185,11.544270547589536,1.5,2.0,4.0,830.0,1,1125,2.3185063219724786
189606,4.59,282,"Nice apartment near river ""Isar""",This simple but nice appartement is centrally located in a quiet residential street only 150 metres from the beautiful Isar beach.,"The apartment is located in a quiet side street. It is very centrally located, and from there it is just 200m to the Isar river! Many shops, cafés, and restaurants are located nearby, all within a short walking distance.",2011-08-03,within an hour,100%,48.126277923583984,11.579534530639648,1.0,0.0,2.0,91.0,2,14,1.2712546723748028
190383,4.93,278,TOP! direkte Anbindung zur Messe,"A TOP room with a direct connection to the Munich TRADE FAIR, which is furnished with antique furniture.  Shops, restaurants and cafes are very convenient and within walking distance and many beautiful green areas invite you to take a walk. Ideal for trade fair visitors - only 5 stops directly to ""Messestadt Ost"" with the U2 line, Josephsburg U-Bahn [subway] station. Towels and linens are included. If desired, small breakfast for an extra charge of €5.",,2011-08-04,within a few hours,100%,48.12424,11.63186,1.0,1.0,1.0,37.0,2,730,4.4349274150495965
190653,4.71,242,Pretty and renovated apartment,,,2011-08-04,within a day,80%,48.12951,11.56103,,1.0,1.0,86.0,2,730,1.3815953362329856
192933,4.8,110,Artist's Studio Glockenbach area,"Cosy studio in the Glockenbach neighbourhood, quiet inner courtyard, douzends of pubs, clubs, coffeee shops and restauraunts within 5 minutes walking, 3 min to subway, 10 min to city center, 20 minutes to Oktoberfest by walking.",,2011-08-07,within a day,100%,48.1295,11.56788,1.0,1.0,2.0,140.0,3,24,1.0402406648739377
