id,price,log1_price,latitude,longitude,distance_to_city_center_km,neighbourhood_cleansed,property_type_clean,room_type,accommodates,bedrooms,bedrooms_missing,beds,beds_missing,bathroom_count,bathroom_privacy,bathroom_information_missing,has_license,amenity_count,has_wifi,has_kitchen,has_parking,has_washer,has_air_conditioning,has_workspace,has_balcony,has_dryer,has_elevator,has_smoke_alarm,allows_pets
97945,105.0,4.663439094112067,48.11492,11.48954,6.847346065009217,Hadern,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,38,1,1,1,1,0,0,1,1,0,1,0
127383,288.0,5.666426688112432,48.15199,11.56482,1.8055623147214752,Maxvorstadt,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,34,1,1,0,1,0,0,1,0,1,1,1
170154,142.0,4.962844630259907,48.10814,11.52733,4.829449701300257,Sendling-Westpark,house_like,Private room,4,1.0,0,2.0,0,1.0,shared,0,0,42,1,1,1,1,0,0,1,0,0,1,1
172977,120.0,4.795790545596741,48.14957,11.55507,2.0301681746328386,Maxvorstadt,apartment_like,Private room,2,1.0,0,1.0,0,1.0,shared,0,0,20,0,1,1,0,0,0,0,0,0,1,0
187359,68.0,4.23410650459726,48.15638,11.53935,3.410714187488662,Neuhausen-Nymphenburg,apartment_like,Private room,2,1.0,0,1.0,0,1.0,shared,0,0,44,1,1,1,1,0,0,1,0,0,1,0
189551,830.0,6.7226297948554485,48.135918738468185,11.544270547589536,2.318680407513982,Schwanthalerhöhe,apartment_like,Entire home/apt,6,2.0,0,4.0,0,1.5,unspecified,0,0,76,1,1,1,1,0,1,1,1,0,1,1
189606,91.0,4.5217885770490405,48.126277923583984,11.579534530639648,1.2713432852634428,Au-Haidhausen,apartment_like,Entire home/apt,4,0.0,0,2.0,0,1.0,unspecified,0,0,19,1,1,0,0,0,0,0,0,0,1,0
190383,37.0,3.6375861597263857,48.12424,11.63186,4.434814776745868,Berg am Laim,apartment_like,Private room,1,1.0,0,1.0,0,1.0,shared,0,0,40,1,1,1,1,0,1,1,0,0,1,0
190653,86.0,4.465908118654584,48.12951,11.56103,1.3818068115911313,Ludwigsvorstadt-Isarvorstadt,apartment_like,Entire home/apt,2,1.0,0,1.0,0,,missing,1,0,5,1,1,0,0,0,0,0,0,0,1,0
192933,140.0,4.948759890378168,48.1295,11.56788,1.0404409166197026,Ludwigsvorstadt-Isarvorstadt,apartment_like,Entire home/apt,4,1.0,0,2.0,0,1.0,unspecified,0,0,28,1,1,1,0,0,0,0,0,0,1,1
